Line/Corridor,1991,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Period,Std_Dev,Anomaly
Wigan/Bolton,2541,3306,3356,3624,2970,3338,3574,3898,3937,4444,4573,4573,3247,4307,4850,4519,4627,4575,4538,Peak,679.2516663,0
Rochdale/Oldham,1200,1268,1377,1383,1133,1322,1572,1619,1437,1518,1442,1104,1153,1069,1144,1098,1216,1217,1405,Peak,169.6147988,0
Ashton,407,931,871,930,1046,1061,1230,1273,1268,1261,1244,1237,1442,1551,1353,1209,1291,1420,1538,Peak,270.4410736,1
Marple/Glossop,2111,2173,2280,2026,1793,2038,2270,2400,2335,2539,2518,2426,2614,2644,2905,2896,3078,3138,3329,Peak,416.658923,0
Stockport,2633,2396,2175,2152,2218,2392,2216,2513,2576,2801,2941,2760,2922,2804,2970,2959,3083,3459,3736,Peak,431.0535088,0
Styal Excl. Airport,505,523,568,550,460,616,709,802,807,884,966,953,1054,1186,1051,1034,1004,1043,1130,Peak,237.4534678,1
Manchester Airport,0,213,178,256,222,282,429,298,455,407,435,530,454,634,693,609,683,763,749,Peak,215.8760068,1
Irlam,411,367,366,369,380,405,399,483,607,546,515,564,520,533,528,534,513,627,843,Peak,117.8276979,0
Wigan/Bolton,1215,2148,1847,2159,1878,2522,2174,2436,3133,3320,3549,3354,3034,3834,3543,4212,3895,3161,3412,off-Peak,823.0001831,1
Rochdale/Oldham,632,681,795,881,727,918,986,1023,1120,1192,1389,1003,949,1006,1012,940,916,903,865,off-Peak,176.3349541,0
Ashton,159,361,362,312,363,506,548,557,582,624,639,657,682,893,864,611,745,649,842,off-Peak,197.2621523,1
Marple/Glossop,817,819,937,981,850,1009,994,1090,1107,1449,1336,1418,1516,1661,1657,1500,1501,1626,1393,off-Peak,301.8510511,1
Stockport,1305,999,996,1062,857,982,968,1114,1179,1268,1348,1437,1547,1709,1755,1487,1372,1524,1531,off-Peak,268.0962782,1
Styal Excl. Airport,280,258,288,265,244,332,320,380,430,383,423,492,623,676,609,576,525,505,496,off-Peak,136.272746,1
Manchester Airport,0,445,453,598,535,678,860,810,930,848,826,1199,1241,1486,1440,1465,1562,1501,2040,off-Peak,505.2234061,0
Irlam,128,115,101,134,145,148,109,149,151,159,139,159,212,190,248,301,278,264,263,off-Peak,62.73013435,1
